DateTime,pod1,pod2
2021-07-12 15:09:58.542000,375996416,426192896
2021-07-12 15:10:08.564000,375996416,426192896
2021-07-12 15:10:18.590000,377581568,413048832
2021-07-12 15:10:28.616000,377581568,413048832
2021-07-12 15:10:38.642000,377581568,413048832
2021-07-12 15:10:48.667000,379904000,429838336
2021-07-12 15:10:58.689000,379904000,429838336
2021-07-12 15:11:08.712000,379904000,429838336
2021-07-12 15:11:18.737000,380022784,407916544
2021-07-12 15:11:28.755000,380022784,407916544
2021-07-12 15:11:38.778000,380022784,407916544
2021-07-12 15:11:48.800000,385306624,401211392
2021-07-12 15:11:58.826000,385306624,401211392
2021-07-12 15:12:08.849000,385306624,401211392
2021-07-12 15:12:18.872000,385536000,411979776
2021-07-12 15:12:28.896000,385536000,411979776
2021-07-12 15:12:38.920000,385536000,411979776
2021-07-12 15:12:48.940000,386285568,404930560
2021-07-12 15:12:58.959000,386285568,404930560
2021-07-12 15:13:08.976000,386285568,404930560
2021-07-12 15:13:18.993000,386752512,411201536
2021-07-12 15:13:29.008000,386752512,411201536
2021-07-12 15:13:39.028000,386752512,411201536
2021-07-12 15:13:49.042000,375681024,416243712
2021-07-12 15:13:59.062000,375681024,416243712
2021-07-12 15:14:09.068000,375681024,416243712
2021-07-12 15:14:19.081000,375914496,417218560
2021-07-12 15:14:29.094000,375914496,417218560
2021-07-12 15:14:39.103000,375914496,417218560
2021-07-12 15:14:49.117000,376147968,417320960
2021-07-12 15:14:59.132000,376147968,417320960
2021-07-12 15:15:09.145000,376147968,417320960
2021-07-12 15:15:19.152000,384311296,417619968
2021-07-12 15:15:29.165000,384311296,417619968
2021-07-12 15:15:39.179000,384311296,417619968
2021-07-12 15:15:49.195000,384512000,420212736
2021-07-12 15:15:59.209000,384512000,420212736
2021-07-12 15:16:09.223000,384512000,420212736
2021-07-12 15:16:19.237000,384749568,412315648
2021-07-12 15:16:29.251000,384749568,412315648
2021-07-12 15:16:39.266000,384749568,412315648
2021-07-12 15:16:49.279000,384966656,405561344
2021-07-12 15:16:59.293000,384966656,405561344
2021-07-12 15:17:09.307000,384966656,405561344
2021-07-12 15:17:19.323000,385171456,409542656
2021-07-12 15:17:29.355000,385171456,409542656
2021-07-12 15:17:39.378000,385171456,409542656
2021-07-12 15:17:49.402000,351600640,361336832
2021-07-12 15:17:59.420000,351600640,361336832
2021-07-12 15:18:09.439000,351600640,361336832
2021-07-12 15:18:19.464000,352976896,362405888
2021-07-12 15:18:29.489000,352976896,362405888
2021-07-12 15:18:39.512000,352976896,362405888
2021-07-12 15:18:49.528000,352923648,362549248
2021-07-12 15:18:59.563000,352923648,362549248
2021-07-12 15:19:09.608000,352923648,362549248
2021-07-12 15:19:19.630000,353300480,377929728
2021-07-12 15:19:29.645000,353300480,377929728
2021-07-12 15:19:39.669000,353300480,377929728
2021-07-12 15:19:49.697000,356225024,371585024
2021-07-12 15:19:59.718000,356225024,371585024
2021-07-12 15:20:09.736000,356225024,371585024
2021-07-12 15:20:19.759000,355696640,373301248
2021-07-12 15:20:29.781000,355696640,373301248
